StudentID,StudentName,DOB,Address,StudentType,Data_of_Start
6,Mary Carson,1996-06-13,"189 Friedman Centers
Frankmouth, TX 11828",Full Time,2017-06-15
7,Alexander Murdock,1996-04-18,"029 Hart Haven
Piercefurt, CT 52041",Full Time,2015-06-15
8,Kareem Coker,1998-02-11,"4425 Lisa Station Apt. 314
North Sean, ND 35879",Full Time,2017-06-15
9,Harry Hurtado,1997-02-02,"204 Jennifer Island
Cruzfort, KY 14095",Full Time,2016-06-15
10,Jose Abbott,1996-09-28,"509 Powell Ways
North Lauraside, SD 96141",Full Time,2016-06-30
11,Daniel Willard,1997-04-09,"0637 Brittany Station
North Christopherview, ND 79884",Full Time,2017-06-30
12,Bruce Clifton,1998-03-26,"9742 Pineda Underpass
New Hannah, VT 64767",Full Time,2017-06-30
13,Sandra Pack,1997-09-23,"030 Renee Mills
Allenchester, MN 72480",Full Time,2017-06-15
14,Chris Jones,1997-12-02,"888 Nicholas Mission Suite 732
Port Brandyfort, NY 64359",Full Time,2018-06-30
15,Raymond Pauls,1997-09-04,"777 Cynthia Shoals
South Stevenhaven, FL 44734",Full Time,2015-06-15
16,Lori Nelson,1997-12-25,"5542 Harper Orchard Suite 665
Maryland, KS 12781",Full Time,2016-06-15
17,Jill Johnson,1998-03-20,"030 Steven Hill
Lauratown, OH 92346",Full Time,2017-06-30
18,Willie Dollar,1998-04-23,"1969 Shannon Crest Suite 673
West Carl, LA 47836",Full Time,2016-06-15
19,Larry Aldridge,1997-12-06,"395 Miles Point Suite 288
Rhodesport, CT 49278",Full Time,2018-06-30
20,Paul Smith,1997-06-03,"9733 Jeffrey Shoals Suite 939
Robinsonchester, NE 48470",Full Time,2017-06-30
21,George Corbett,1996-09-18,"651 Cervantes Heights
Linport, WV 45669",Full Time,2017-06-15
22,Tracee Lipka,1996-09-06,"05478 Powers Parks Apt. 631
Teresafort, TN 80964",Full Time,2016-06-15
23,Ronald Wheeler,1998-11-02,"501 Shelia Ways
Dixonfurt, WA 86594",Full Time,2015-06-15
24,Ricardo Glory,1998-07-16,"63660 Mark Landing Apt. 257
Harrellstad, NE 95778",Full Time,2017-06-30
25,John Yee,1996-09-05,"345 Stephanie Stream
Hayesport, WI 29681",Full Time,2015-06-30
